i;x_i;y_i;y(x_i);|y_i-y(x)|;p(k);;;;
k=1;;;;;;;;;
29;1,29;1,74861;1,74861;3,07E-09;9,22115;;;;3,07E-09
30;1,3;1,75856;1,75856;8,46E-11;4,00003;;;8,46E-11;
31;1,31;1,76824;1,76824;3,07E-09;9,14457;;;;3,07E-09
32;1,32;1,77767;1,77767;8,88E-11;4,00005;;;8,88E-11;
33;1,33;1,78682;1,78682;3,06E-09;9,0756;;;;3,06E-09
34;1,34;1,7957;1,7957;9,28E-11;4;;;9,28E-11;
35;1,35;1,80429;1,80429;3,06E-09;9,01339;;;;3,06E-09
36;1,36;1,81259;1,81259;9,66E-11;4,00009;;;9,66E-11;
37;1,37;1,82059;1,82059;3,06E-09;8,95762;;;;3,06E-09
38;1,38;1,82829;1,82829;1,00E-10;4,00003;;;1,00E-10;
39;1,39;1,83567;1,83567;3,05E-09;8,90767;;;;3,05E-09
40;1,4;1,84272;1,84272;1,03E-10;4,00003;;;1,03E-10;
41;1,41;1,84945;1,84945;3,05E-09;8,86342;;;;3,05E-09
42;1,42;1,85584;1,85584;1,06E-10;4,00014;;;1,06E-10;
43;1,43;1,86188;1,86188;3,05E-09;8,82459;;;;3,05E-09
44;1,44;1,86756;1,86756;1,09E-10;4,00011;;;1,09E-10;
45;1,45;1,87288;1,87288;3,04E-09;8,791;;;;3,04E-09
46;1,46;1,87783;1,87783;1,11E-10;3,99997;;;1,11E-10;
47;1,47;1,8824;1,8824;3,04E-09;8,76239;;;;3,04E-09
48;1,48;1,88658;1,88658;1,13E-10;4,00003;;;1,13E-10;
49;1,49;1,89037;1,89037;3,04E-09;8,73896;;;;3,04E-09
50;1,5;1,89374;1,89374;1,15E-10;4,00003;;;1,15E-10;
51;1,51;1,8967;1,8967;3,04E-09;8,72062;;;;3,04E-09
52;1,52;1,89924;1,89924;1,16E-10;4,00007;;;1,16E-10;
53;1,53;1,90134;1,90134;3,04E-09;8,70729;;;;3,04E-09
54;1,54;1,903;1,903;1,17E-10;4,00009;;;1,17E-10;
55;1,55;1,90421;1,90421;3,04E-09;8,69903;;;;3,04E-09
56;1,56;1,90496;1,90496;1,17E-10;4,00007;;;1,17E-10;
57;1,57;1,90524;1,90524;3,04E-09;8,69617;;;;3,04E-09
58;1,58;1,90503;1,90503;1,17E-10;3,99998;;;1,17E-10;
59;1,59;1,90434;1,90434;3,04E-09;8,69871;;;;3,04E-09
60;1,6;1,90315;1,90315;1,17E-10;4,00015;;;1,17E-10;
61;1,61;1,90144;1,90144;3,04E-09;8,70706;;;;3,04E-09
62;1,62;1,89922;1,89922;1,16E-10;4,00009;;;1,16E-10;
63;1,63;1,89647;1,89647;3,04E-09;8,72127;;;;3,04E-09
64;1,64;1,89318;1,89318;1,14E-10;4,0001;;;1,14E-10;
65;1,65;1,88934;1,88934;3,04E-09;8,742;;;;3,04E-09
66;1,66;1,88494;1,88494;1,13E-10;4,00008;;;1,13E-10;
67;1,67;1,87996;1,87996;3,04E-09;8,76966;;;;3,04E-09
68;1,68;1,87441;1,87441;1,10E-10;4,00008;;;1,10E-10;
69;1,69;1,86826;1,86826;3,05E-09;8,80502;;;;3,05E-09
70;1,7;1,86152;1,86152;1,07E-10;4,00015;;;1,07E-10;
71;1,71;1,85416;1,85416;3,05E-09;8,84851;;;;3,05E-09
72;1,72;1,84617;1,84617;1,04E-10;4,00006;;;1,04E-10;
73;1,73;1,83755;1,83755;3,05E-09;8,90153;;;;3,05E-09
74;1,74;1,82828;1,82828;1,00E-10;4,00017;;;1,00E-10;
75;1,75;1,81836;1,81836;3,06E-09;8,96496;;;;3,06E-09
76;1,76;1,80776;1,80776;9,55E-11;4,00007;;;9,55E-11;
77;1,77;1,79649;1,79649;3,06E-09;9,0409;;;;3,06E-09
78;1,78;1,78452;1,78452;9,03E-11;4,00021;;;9,03E-11;
79;1,79;1,77185;1,77185;3,07E-09;9,1309;;;;3,07E-09
80;1,8;1,75847;1,75847;8,46E-11;4,0002;;;8,46E-11;
81;1,81;1,74436;1,74436;3,07E-09;9,2383;;;;3,07E-09
82;1,82;1,72951;1,72951;7,81E-11;4,00027;;;7,81E-11;
83;1,83;1,71391;1,71391;3,08E-09;9,36676;;;;3,08E-09
84;1,84;1,69755;1,69755;7,10E-11;4,00023;;;7,10E-11;
85;1,85;1,68042;1,68042;3,09E-09;9,52164;;;;3,09E-09
86;1,86;1,66249;1,66249;6,32E-11;4,00043;;;6,32E-11;
87;1,87;1,64377;1,64377;3,10E-09;9,71161;;;;3,10E-09
88;1,88;1,62424;1,62424;5,47E-11;4,00044;;;5,47E-11;
89;1,89;1,60388;1,60388;3,10E-09;9,95041;;;;3,10E-09
90;1,9;1,58269;1,58269;4,55E-11;4,00057;;;4,55E-11;
91;1,91;1,56065;1,56065;3,11E-09;10,2616;;;;3,11E-09
92;1,92;1,53775;1,53775;3,55E-11;4,00099;;;3,55E-11;
93;1,93;1,51397;1,51397;3,12E-09;10,6922;;;;3,12E-09
94;1,94;1,48931;1,48931;2,47E-11;4,00107;;;2,47E-11;
95;1,95;1,46374;1,46374;3,14E-09;11,3627;;;;3,14E-09
96;1,96;1,43726;1,43726;1,32E-11;4,00165;;;1,32E-11;
97;1,97;1,40986;1,40986;3,15E-09;12,7953;;;;3,15E-09
98;1,98;1,38152;1,38152;7,97E-13;4,04741;;;7,97E-13;
99;1,99;1,35222;1,35222;3,16E-09;13,108;;;;3,16E-09
100;2;1,32196;1,32196;1,24E-11;3,99784;;;;
100;2;1,32196;1,32196;1,24E-11;3,99784;;;;
